id,place_id,name,filter_id
1593,874,문화예술교육 프로그램 [학교폭력 스탑 프로젝트: 연극 프로불편러],4
1594,875,문화예술교육 프로그램 [청년의 신세계 : My Home History],6
1595,875,문화예술교육 프로그램 [청년의 신세계 : My Home History],4
1596,876,[한국공예?디자인문화진흥원] 2023 전통생활문화교육 ,6
1597,876,[한국공예?디자인문화진흥원] 2023 전통생활문화교육 ,4
1598,877,[노들섬] 2023 서울거리공연 구석구석라이브,2
1599,877,[노들섬] 2023 서울거리공연 구석구석라이브,6
1600,878,[도서관에서 만나는 인문학열전] 당신에게 권하는 일상의 인문학,4
1601,878,[도서관에서 만나는 인문학열전] 당신에게 권하는 일상의 인문학,3
1602,879,[한성백제박물관] 제4회 백제그림그리기대회 전시,3
1603,879,[한성백제박물관] 제4회 백제그림그리기대회 전시,6
1604,879,[한성백제박물관] 제4회 백제그림그리기대회 전시,4
1605,880,[성북선잠박물관] 소장품 특별전,3
1606,880,[성북선잠박물관] 소장품 특별전,6
1607,880,[성북선잠박물관] 소장품 특별전,4
1608,881,"[2023년 6월 민주화 운동 특별전시] 마음을 움직이는 말, 선전물",3
1609,881,"[2023년 6월 민주화 운동 특별전시] 마음을 움직이는 말, 선전물",6
1610,882,[권진규의 영원한 집] 전시 연계 특별 도슨트 및 특강,3
1611,882,[권진규의 영원한 집] 전시 연계 특별 도슨트 및 특강,6
1612,883,권진규의 영원한 집,3
1613,883,권진규의 영원한 집,6
1614,884,[2023 시민공모전] 기억 전당포 : 1990 서울 나들이 展,3
1615,884,[2023 시민공모전] 기억 전당포 : 1990 서울 나들이 展,6
1616,885,박노수미술관 개관 10주년 기념전시 [화필인생-박노수의 모던 타임즈],3
1617,885,박노수미술관 개관 10주년 기념전시 [화필인생-박노수의 모던 타임즈],6
1618,885,박노수미술관 개관 10주년 기념전시 [화필인생-박노수의 모던 타임즈],4
1619,886,80 도시현실,3
1620,886,80 도시현실,6
1621,887,[서울역사박물관] 제39기 중학생 인턴제,5
1622,887,[서울역사박물관] 제39기 중학생 인턴제,3
1623,887,[서울역사박물관] 제39기 중학생 인턴제,4
1624,888,2023 평화문화진지 기획프로그램 [나의 나무 깎기],6
1625,888,2023 평화문화진지 기획프로그램 [나의 나무 깎기],4
1626,889,2023 서울우리소리박물관 특별전 [자장자장 도담도담],3
1627,889,2023 서울우리소리박물관 특별전 [자장자장 도담도담],6
1628,889,2023 서울우리소리박물관 특별전 [자장자장 도담도담],4
1629,890,2023 신당 프로젝트 전시(SPE) [공예 자리],3
1630,890,2023 신당 프로젝트 전시(SPE) [공예 자리],6
1631,891,2023 서울 문화예술교육 지원사업 프로그램 안내,6
1632,891,2023 서울 문화예술교육 지원사업 프로그램 안내,4
1633,892,2023 월간뮤지크,2
1634,892,2023 월간뮤지크,6
1635,893,2023년 서울기록원 전시연계 강연프로그램 [기록을 바라보는 여섯 개의 시선],4
1636,894,특별한(★) 데이(DAY) 천문현상 주제 관측 프로그램,4
1637,895,2023 광화문책마당,4
1638,896,"소색비무색, 흰옷에 깃든 빛깔",3
1639,896,"소색비무색, 흰옷에 깃든 빛깔",6
1640,897,2023 삼각산 활짝시네마,2
1641,897,2023 삼각산 활짝시네마,6
1642,898,2023 남산골 전통체험,4
1643,899,시민청 기획전시 [웨이브 2023 수도서울],3
1644,899,시민청 기획전시 [웨이브 2023 수도서울],6
1645,900,2023년 시청 시민청 [바스락콘서트] 모두를 위한 공연,2
1646,900,2023년 시청 시민청 [바스락콘서트] 모두를 위한 공연,6
1647,901,SeMA-프로젝트 A,3
1648,901,SeMA-프로젝트 A,6
1649,902,[서울우리소리박물관] 자율학습프로그램 [자연관찰 우리소리],3
1650,902,[서울우리소리박물관] 자율학습프로그램 [자연관찰 우리소리],4
1651,903,2023 과학?문화가 있는 날 月刊夜水 : 월간야수,6
1652,904,[구립증산정보도서관] 열린 책 읽기 모임 Book-ing Club 모집,4
1653,904,[구립증산정보도서관] 열린 책 읽기 모임 Book-ing Club 모집,3
1654,905,"[독서토론회] 2023년 목, 수다",4
1655,906,2023년 운현궁 티타임,3
1656,906,2023년 운현궁 티타임,4
1657,906,2023년 운현궁 티타임,6
1658,907,[돈의문박물관마을] 한옥예술체험 '예술가의 시간',5
1659,907,[돈의문박물관마을] 한옥예술체험 '예술가의 시간',3
1660,907,[돈의문박물관마을] 한옥예술체험 '예술가의 시간',4
1661,908,"2023년 함석헌기념관 힐링in문학(낭독) [낭만, 함석헌] 참여자 모집",3
1662,908,"2023년 함석헌기념관 힐링in문학(낭독) [낭만, 함석헌] 참여자 모집",4
1663,909,2023년 함석헌기념관 힐링in문학(낭송) [무욕청정(無欲淸淨)] 참여자 모집,3
1664,909,2023년 함석헌기념관 힐링in문학(낭송) [무욕청정(無欲淸淨)] 참여자 모집,4
1665,910,2023 수요창작소,4
1666,911,2023년 박물관 토요음악회 ,2
1667,911,2023년 박물관 토요음악회 ,6
1668,911,2023년 박물관 토요음악회 ,3
1669,911,2023년 박물관 토요음악회 ,4
1670,912,월간객석과 함께하는 마티네 콘서트,2
1671,912,월간객석과 함께하는 마티네 콘서트,6
1672,913,D-숲,3
1673,913,D-숲,6
1674,913,D-숲,1
1675,914,청춘1번가,4
1676,915,서리풀청년아트갤러리 오프라인 문화강좌 [아뜰리에 서리풀],3
1677,915,서리풀청년아트갤러리 오프라인 문화강좌 [아뜰리에 서리풀],6
1678,916,[낙원 FM '일일 DJ 체험' 모집 중!],4
1679,917,시민청 스탬프투어,1
1680,917,시민청 스탬프투어,2
1681,917,시민청 스탬프투어,4
1682,918,"[서울역사박물관] Visit Museum, Enjoy SEOUL",5
1683,918,"[서울역사박물관] Visit Museum, Enjoy SEOUL",3
1684,918,"[서울역사박물관] Visit Museum, Enjoy SEOUL",4
1685,919,"Visit Museum, Enjoy SEOUL",4
1686,920,[하수도과학관] 전시해설 프로그램(전시실 + 재이용수 처리실) ,4
1687,921,2023 토요명품,2
1688,921,2023 토요명품,6
1689,922,[돈의문박물관마을] 돈의문 마을이야기 투어,3
1690,922,[돈의문박물관마을] 돈의문 마을이야기 투어,4
1691,923,"하수, 새활용을 만나다",4
1692,924,"하수, 새활용을 만나다",4
1693,925,서울하수도과학관 [전시해설 프로그램],4
1694,926,"2023년 함석헌기념관 체험 프로그램 [그를 잇다, 글을 짓다]",4
1695,927,서울풍물시장 전통문화체험관,5
1696,927,서울풍물시장 전통문화체험관,6
1697,927,서울풍물시장 전통문화체험관,4
1698,928,[서울디자인재단] DDP 건축투어,6
1699,929,라이트 스페이스,3
1700,929,라이트 스페이스,6
1701,930,매거진 라이브러리: 기록에 머물다,3
1702,930,매거진 라이브러리: 기록에 머물다,6
1703,931,동대문 역사관,3
1704,931,동대문 역사관,6
1705,931,동대문 역사관,5
1706,932,동대문운동장 기념관,3
1707,932,동대문운동장 기념관,6
1708,933,UD 라이프스타일 플랫폼,3
1709,933,UD 라이프스타일 플랫폼,6
1710,934,"고희동미술관 재개관 3주년기념전시 「모던을 터치하다: 고희동, 근대회화의 선구자」",3
1711,934,"고희동미술관 재개관 3주년기념전시 「모던을 터치하다: 고희동, 근대회화의 선구자」",6
1712,934,"고희동미술관 재개관 3주년기념전시 「모던을 터치하다: 고희동, 근대회화의 선구자」",4
1713,935,경희대학교,4
1714,936,DDP(동대문디자인플라자),6
1715,937,우란2경,2
1716,937,우란2경,6
1717,938,구립은평뉴타운도서관,4
1718,938,구립은평뉴타운도서관,3
1719,939,노원문화예술회관,2
1720,939,노원문화예술회관,6
1721,940,서울시립미술관 SeMA창고,3
1722,940,서울시립미술관 SeMA창고,6
1723,940,서울시립미술관 SeMA창고,4
1724,941,동숭무대,2
1725,941,동숭무대,6
1726,942,양천구민체육센터,1
1727,942,양천구민체육센터,4
1728,943,금천예술공장,3
1729,943,금천예술공장,6
1730,944,송파도서관,4
1731,944,송파도서관,3
1732,945,세종대왕기념관,3
1733,945,세종대왕기념관,6
1734,946,북촌 서울무형문화재 교육전시장,5
1735,946,북촌 서울무형문화재 교육전시장,6
1736,946,북촌 서울무형문화재 교육전시장,4
1737,947,주한독일문화원,6
1738,947,주한독일문화원,4
1739,948,주한영국문화원,6
1740,948,주한영국문화원,4
1741,949,고척도서관,4
1742,949,고척도서관,3
1743,950,용산도시기억전시관,3
1744,950,용산도시기억전시관,6
1745,951,광진교 8번가,2
1746,952,서울생활사박물관,3
1747,952,서울생활사박물관,6
1748,952,서울생활사박물관,4
1749,953,공평도시유적전시관,3
1750,953,공평도시유적전시관,6
1751,954,김영옥 미술관,3
1752,954,김영옥 미술관,6
1753,954,김영옥 미술관,4
1754,955,양천문화재단,6
1755,956,세종문화회관,2
1756,956,세종문화회관,6
