category_id,district,name,work_time,address,phone_number,description,page_url,image_url,latitude,longitude,price
2,마포구, 차이코프스키 동화음악극 [미녀와 야수],2023-11-18~2023-11-18,마포아트센터 아트홀 맥,," R석 50,000원 S석 40,000원 A석 30,000원",https://www.mfac.or.kr/performance/whole_view.jsp?sc_top_str=%EB%AF%B8%EB%85%80&pk_seq=2267&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a15339dbdd41460787de9733beb70261&thumb=Y,37.54990609,126.9455338,유료
2,금천구,[금천문화재단] 오셀로와 이아고,2023-11-16~2023-11-17,금나래아트홀,,전석 2만원,https://gcfac.or.kr/performance/commonView?gcfac_menu_cd=U0007&currRow=1&seq_no=3566&perDisGubun=performance&returnURI=%2Fperformance%2FcurrentList&serhDate=&serhPerforDisplay=&serhTitle=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6e03a7bcfd86498e84df2fae2cb4b8f2&thumb=Y,37.45715585,126.8967629,유료
5,금천구,"[온라인특강] 출산휴가, 육아휴직 즉문즉답",2023-11-16~2023-11-16,온라인 특강(ZOOM강의),,"임신, 출산, 유아기 노동법 관련 궁금증을 해결하고, 엄마 아빠가 아이 키우기 좋은 도시 '서울'을 만들기 위해 노력합니다. ",https://gworkingmom.net/program/regulars/87,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a5816419a79345de806d367ba0741b63&thumb=Y,37.47619002,126.8837237,무료
5,용산구,[서울생활문화센터 서교] 인문학정원 20세기 일본만화사,2023-11-16~2023-11-16,서울생활문화센터 서교 스퀘어,,,https://seogyocenter.or.kr/programall/?idx=362,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2331b2ae1f67448c83422d23b65acbca&thumb=Y,37.55080217,126.9167159,무료
2,용산구,2023 우리소리의 맥(脈)을 찾아서 특별기획 국악공연,2023-11-16~2023-11-16,동자아트홀 (서울역 건너편 KDB 건물 지하 2층),,,http://seoulccf.or.kr/festival/festivalView?festival_seq=59&gcfac_menu_cd=U0202&choisMonth=11&choisYear=2023,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=914e578f7d4e4f7d892c81c9eee6f084&thumb=Y,37.55167943,126.9729051,무료
2,성동구,11월 문화가 흐르는 청계천의 밤,2023-11-15~2023-11-15,청계천박물관 3층 강당,,,https://museum.seoul.go.kr/cgcm/board/NR_boardList.do?bbsCd=1018,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d239887dc1347339596670958e5d651&thumb=Y,37.57126617,127.0350432,무료
2,서초구,[서초문화재단] 뮤지컬 나도 해피엔딩을 쓰고 싶어,2023-11-14~2023-11-25,서초문화재단 반포심산아트홀,,"전석 5만 5천원 (서초구민 60%/ 서초문화재단 홈페이지 회원, 학생, 경로 50% / 조기예매, 재관람 40%)",https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=633,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3bc80614a07141cc82265492deabdd8c&thumb=Y,37.49883446,126.9912425,유료
2,강북구,[서울시립교향악단] 2023 서울시향  우리동네 음악회(실내악),2023-11-14~2023-11-14,강북문화재단 북서울 꿈의숲,,,https://www.seoulphil.or.kr/perf/view?perfNo=5909&calendarDate=2023/11/14&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b325166d7dc0438ba9e49d18c92fce3c&thumb=Y,37.64090255,127.0132564,무료
5,종로구,[2023년도 플레이업 아카데미 모집] 신체훈련 아카데미 [나에게 맞는 워밍업 루틴 만들기],2023-11-13~2023-12-01,서울연극센터,,,https://www.sfac.or.kr/participation/sfac_program.do?pageIndex=&eduMstSeq=33222&eduScheSeq=&mode=VIEW&mstStatus=&eduGubunSel=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6286adde42a34798b90bd0c740a7f326&thumb=Y,37.5833444,127.0013025,무료
5,양천구,[양천구청] 건강힐링센터 2023년 11월 원데이해빛 원데이 힐링프로그램,2023-11-13~2023-11-17,양천구 건강힐링문화관 3층,,"5,000원/1인",https://www.yangcheon.go.kr/site/healing/ex/bbs/View.do?cbIdx=1046&bcIdx=280976&parentSeq=280976,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9227c4aa1ee1408fa81e26013b332199&thumb=Y,37.51757901,126.8458736,유료
